Latitude,Longitude,Predictions
38.03708,-122.54708,7.5
38.03708,-122.52208,7.5
38.03708,-122.26375,7.2
38.03708,-121.98875,6.8
38.03708,-121.97208,7.2
38.03708,-121.88042,7.2
38.02875,-122.53875,7.5
38.02875,-122.51375,7.5
38.02875,-122.27208,7.5
38.02875,-122.24708,6.5
38.02875,-122.18042,7.5
38.02875,-122.13875,7.5
38.02875,-122.03042,7.5
38.02875,-121.99708,6.5
38.02875,-121.98042,6.5
38.02875,-121.95542,6.5
38.02875,-121.93875,6.8
38.02875,-121.90542,6.5
38.02875,-121.88875,6.5
38.02875,-121.85542,6.8
38.02042,-122.54708,8.5
38.02042,-122.53042,7.5
38.02042,-122.50542,7.5
38.02042,-122.25542,7.5
38.02042,-122.09708,7.2
38.02042,-122.02208,7.2
38.02042,-121.98875,6.5
38.02042,-121.91375,6.5
38.02042,-121.89708,6.8
38.02042,-121.88042,6.5
38.02042,-121.82208,6.5
38.01208,-122.53875,7.5
38.01208,-122.51375,7.5
38.01208,-122.31375,7.5
38.01208,-122.28042,7.5
38.01208,-122.18875,7.5
38.01208,-122.14708,7.5
38.01208,-122.13042,7.5
38.01208,-122.10542,7.5
38.01208,-122.08875,7.5
38.01208,-122.03042,7.2
38.01208,-121.98042,6.5
38.01208,-121.96375,6.8
38.01208,-121.94708,6.5
38.01208,-121.93042,6.5
38.01208,-121.90542,7.2
38.01208,-121.88875,6.5
38.01208,-121.86375,6.8
38.01208,-121.81375,6.5
38.01208,-121.78875,6.8
38.00375,-122.54708,7.5
38.00375,-122.52208,7.5
38.00375,-122.50542,8.2
38.00375,-122.35542,7.2
38.00375,-122.33875,7.5
38.00375,-122.32208,7.5
38.00375,-122.29708,7.5
38.00375,-122.26375,7.5
38.00375,-122.24708,7.5
38.00375,-122.23042,7.5
38.00375,-122.21375,7.5
38.00375,-122.16375,7.5
38.00375,-122.11375,7.5
38.00375,-122.07208,7.5
38.00375,-122.05542,7.2
38.00375,-122.03875,7.2
38.00375,-122.02208,7.2
38.00375,-121.95542,6.5
38.00375,-121.87208,7.5
38.00375,-121.84708,6.5
38.00375,-121.83042,6.8
38.00375,-121.79708,6.5
37.99542,-122.53875,7.5
37.99542,-122.46375,7.5
37.99542,-122.34708,7.2
37.99542,-122.33042,7.5
37.99542,-122.31375,7.2
37.99542,-122.27208,7.2
37.99542,-122.25542,7.5
37.99542,-122.23875,7.2
37.99542,-122.19708,7.5
37.99542,-122.17208,7.5
37.99542,-122.14708,7.5
37.99542,-122.13042,7.5
37.99542,-122.09708,7.5
37.99542,-122.08042,7.5
37.99542,-122.03042,7.5
37.99542,-121.89708,7.2
37.99542,-121.88042,6.5
37.99542,-121.86375,7.5
37.99542,-121.83875,6.8
